     128	     0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
     256	     0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
     512	11523.549215	1028096	1089536	1122304	1171456	1220608	1302528	2007040	2899968	3325952	3751936	4292608	4816896	5799936	6258688	7766016	8716288	11206656
    1024	11374.275048	1044480	1105920	1138688	1187840	1236992	1318912	2007040	2932736	3358720	3817472	4358144	4882432	5865472	6258688	7307264	7831552	9502720
    2048	10291.123629	1105920	1171456	1220608	1302528	1417216	1597440	2473984	3162112	3620864	4112384	4751360	5341184	6520832	6979584	8355840	9240576	13959168
    4096	9777.140762	1171456	1236992	1286144	1384448	1499136	1695744	2670592	3358720	3817472	4292608	4947968	5537792	6651904	7176192	8290304	8978432	11599872
    8192	9124.895837	1236992	1318912	1384448	1466368	1581056	1777664	2899968	3686400	4145152	4620288	5275648	5865472	7045120	7503872	8585216	9109504	10682368
   16384	8323.022566	1368064	1449984	1515520	1630208	1761280	1974272	3293184	4046848	4554752	5013504	5734400	6389760	7634944	8159232	9371648	10027008	13041664
   32768	5885.907606	1761280	1875968	1974272	2113536	2310144	2572288	3096576	5799936	6651904	7503872	8716288	9633792	11862016	12779520	15007744	15925248	19791872
   65536	3966.140105	2277376	2441216	2572288	2768896	3031040	3424256	4014080	8454144	10289152	11993088	14090240	15794176	19529728	21102592	25034752	26083328	30015488
  131072	2446.377391	3424256	3686400	3883008	4227072	4685824	5275648	5865472	12648448	17170432	20316160	23986176	27131904	34340864	38010880	46399488	50593792	62652416
  262144	1395.914559	6062080	6586368	6914048	7372800	7700480	8028160	8454144	9240576	31326208	38535168	46923776	54263808	68681728	73924608	85458944	90701824	110624768
  524288	766.631116	10551296	11468800	12124160	13041664	13697024	14090240	14745600	15663104	59506688	73924608	88604672	101187584	126353408	137363456	158334976	164626432	175112192
 1048576	404.137655	20054016	21364736	22151168	23199744	23986176	24510464	25559040	26607616	36962304	158334976	185597952	202375168	233832448	246415360	267386880	278921216	325058560
 2097152	210.331858	33816576	36962304	39059456	41680896	44302336	46923776	49545216	52690944	61079552	329252864	371195904	392167424	429916160	442499072	463470592	467664896	492830720
 4194304	106.584007	65273856	72876032	77070336	83361792	87556096	92798976	96993280	101187584	111673344	666894336	734003200	767557632	817889280	843055104	859832320	876609536	893386752
 8388608	54.089885	126353408	139460608	152043520	162529280	177209344	185597952	193986560	200278016	214958080	1317011456	1434451968	1484783616	1585446912	1602224128	1652555776	1686110208	1686110208
16777216	32.112995	82313216	166723584	187695104	235929600	337641472	371195904	383778816	396361728	421527552	1417674752	2835349504	2936012800	3103784960	3137339392	3204448256	3204448256	3204448256
     128	     0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
     256	     0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
     512	12240.59198	1003520	1073152	1105920	1171456	1220608	1302528	1499136	2473984	3063808	3555328	4227072	4685824	5734400	6193152	7438336	8290304	14745600
    1024	11438.085397	1036288	1089536	1122304	1171456	1220608	1302528	1990656	2932736	3358720	3784704	4358144	4816896	5799936	6258688	7241728	7766016	9240576
    2048	10370.987634	1089536	1155072	1204224	1302528	1400832	1597440	2473984	3162112	3588096	4046848	4685824	5275648	6389760	6848512	8585216	9764864	14614528
    4096	9834.205526	1171456	1236992	1286144	1384448	1499136	1695744	2637824	3325952	3784704	4292608	4947968	5472256	6651904	7110656	8224768	8716288	10682368
    8192	9140.39532	1253376	1318912	1384448	1482752	1597440	1777664	2867200	3653632	4145152	4620288	5275648	5865472	7110656	7569408	8716288	9371648	14614528
   16384	8451.751608	1368064	1449984	1515520	1630208	1761280	1974272	3293184	3981312	4423680	4947968	5603328	6193152	7372800	7831552	8978432	9502720	10944512
   32768	6082.691731	1744896	1875968	1974272	2113536	2310144	2572288	3325952	5472256	6324224	7110656	8224768	9109504	11075584	11730944	13434880	14090240	20316160
   65536	4111.022231	2277376	2441216	2572288	2768896	3031040	3391488	3981312	8093696	9764864	11337728	13303808	15007744	18481152	19791872	23461888	24510464	27131904
  131072	2551.444856	3391488	3653632	3850240	4227072	4620288	5144576	5734400	12386304	16318464	19005440	22675456	25821184	32112640	34340864	39583744	41680896	44302336
  262144	1473.072052	5931008	6455296	6782976	7176192	7503872	7897088	8290304	9109504	29229056	35913728	43778048	49545216	61603840	66846720	77070336	79167488	87556096
  524288	792.422021	10289152	11206656	11730944	12648448	13303808	13828096	14352384	15138816	54263808	70778880	87556096	100139008	123207680	131596288	149946368	158334976	164626432
 1048576	419.135535	17956864	19791872	20840448	22151168	22937600	23986176	24510464	25559040	27656192	156237824	185597952	202375168	235929600	244318208	265289728	274726912	291504128
 2097152	213.695985	30801920	33816576	36438016	40632320	43778048	46399488	49545216	53215232	60030976	320864256	362807296	392167424	438304768	450887680	480247808	488636416	517996544
 4194304	106.405611	69730304	76021760	79167488	85458944	88604672	92798976	96993280	103284736	113770496	641728512	717225984	759169024	843055104	868220928	918552576	935329792	935329792
 8388608	53.847686	129499136	143654912	152043520	168820736	177209344	187695104	196083712	202375168	214958080	1249902592	1484783616	1551892480	1619001344	1619001344	1669332992	1686110208	1686110208
16777216	27.725268	200278016	278921216	291504128	312475648	350224384	371195904	383778816	392167424	413138944	2432696320	2902458368	2969567232	3070230528	3103784960	3137339392	3137339392	3137339392
     128	     0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
     256	     0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
     512	11823.011799	1019904	1073152	1105920	1138688	1187840	1269760	1892352	2736128	3194880	3653632	4227072	4751360	5799936	6258688	7438336	8159232	15663104
    1024	11490.716976	1044480	1089536	1122304	1155072	1204224	1269760	1843200	2932736	3358720	3784704	4358144	4816896	5865472	6258688	7438336	8290304	11337728
    2048	10464.784507	1089536	1155072	1187840	1253376	1351680	1515520	2408448	3129344	3588096	4079616	4751360	5275648	6455296	6914048	8290304	9240576	13959168
    4096	9966.667778	1171456	1220608	1269760	1335296	1417216	1597440	2539520	3325952	3784704	4292608	4947968	5472256	6651904	7110656	8159232	8716288	9633792
    8192	9248.758375	1236992	1302528	1351680	1433600	1515520	1695744	2736128	3653632	4145152	4620288	5275648	5865472	7045120	7503872	8716288	9240576	11862016
   16384	8497.066862	1368064	1433600	1482752	1581056	1679360	1925120	3227648	3948544	4423680	4947968	5603328	6193152	7438336	7962624	9240576	9764864	10682368
   32768	6003.866409	1712128	1810432	1892352	2039808	2211840	2572288	3522560	5668864	6520832	7307264	8454144	9371648	11337728	12124160	13959168	14876672	20054016
   65536	4035.82975	2244608	2408448	2506752	2703360	2965504	3457024	4079616	8454144	10158080	11730944	13697024	15400960	18743296	20054016	22675456	23724032	25821184
  131072	2511.165178	3358720	3555328	3719168	4046848	4620288	5275648	5931008	12910592	16908288	19791872	23199744	26083328	32374784	35389440	43253760	46399488	53215232
  262144	1448.72863	5931008	6455296	6717440	7176192	7503872	7831552	8224768	8978432	30801920	36962304	44302336	50069504	63176704	68681728	80216064	85458944	96993280
  524288	777.207597	10420224	11206656	11862016	12910592	13434880	13959168	14483456	15269888	58458112	72876032	88604672	101187584	125304832	135266304	156237824	164626432	173015040
 1048576	411.382709	19267584	20840448	21626880	22675456	23461888	24248320	25034752	26083328	29491200	158334976	183500800	200278016	238026752	250609664	278921216	291504128	304087040
 2097152	212.185783	33816576	37486592	39059456	41680896	44302336	46399488	49020928	52166656	60030976	320864256	362807296	387973120	429916160	446693376	476053504	484442112	513802240
 4194304	105.981427	68681728	76021760	80216064	85458944	89653248	93847552	98041856	103284736	114819072	658505728	717225984	759169024	817889280	834666496	851443712	859832320	868220928
 8388608	54.706998	132644864	141557760	152043520	166723584	179306496	185597952	191889408	198180864	212860928	1283457024	1417674752	1451229184	1551892480	1568669696	1635778560	1652555776	1652555776
16777216	28.563828	135266304	242221056	258998272	308281344	354418688	371195904	383778816	392167424	413138944	2264924160	2835349504	2936012800	3070230528	3137339392	3204448256	3204448256	3204448256
     128	     0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
     256	     0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
     512	12902.636579	987136	1044480	1073152	1122304	1171456	1236992	1351680	2088960	2899968	3457024	4112384	4620288	5668864	6062080	7176192	7897088	18481152
    1024	11516.482784	1036288	1089536	1122304	1155072	1204224	1269760	1728512	2899968	3358720	3784704	4358144	4816896	5799936	6193152	7110656	7503872	9109504
    2048	10495.583481	1089536	1155072	1187840	1269760	1351680	1515520	2408448	3129344	3588096	4046848	4685824	5210112	6455296	6979584	8716288	9502720	12124160
    4096	9996.466902	1171456	1220608	1269760	1335296	1417216	1581056	2506752	3293184	3751936	4227072	4947968	5472256	6651904	7110656	8290304	8847360	10420224
    8192	9281.857271	1236992	1302528	1351680	1433600	1515520	1695744	2703360	3620864	4112384	4620288	5275648	5865472	7045120	7569408	8585216	9109504	11993088
   16384	8568.847705	1368064	1433600	1482752	1564672	1662976	1892352	3194880	3915776	4423680	4882432	5603328	6193152	7372800	7897088	8978432	9371648	10682368
   32768	6154.989667	1712128	1826816	1908736	2039808	2211840	2605056	3784704	5406720	6258688	7045120	8159232	9109504	10944512	11730944	13434880	14221312	20054016
   65536	4139.119421	2244608	2375680	2506752	2703360	2965504	3424256	4112384	7962624	9764864	11337728	13303808	14876672	18219008	19529728	22151168	23724032	26345472
  131072	2593.687508	3325952	3522560	3686400	4014080	4620288	5210112	5865472	12124160	15925248	18743296	22413312	25296896	31064064	33423360	38535168	41156608	45875200
  262144	1500.016664	5799936	6258688	6586368	7045120	7438336	7766016	8159232	8978432	28704768	35389440	42729472	48496640	58982400	63700992	71827456	77070336	83361792
  524288	803.345329	10027008	10813440	11468800	12386304	13172736	13697024	14221312	15138816	51642368	69730304	86507520	99090432	125304832	135266304	164626432	179306496	189792256
 1048576	421.878644	17432576	19005440	20316160	21889024	22937600	23724032	24510464	25559040	27656192	156237824	183500800	202375168	233832448	242221056	265289728	278921216	287309824
 2097152	216.320554	31064064	33816576	36438016	39583744	42729472	45350912	48496640	51642368	57933824	320864256	367001600	396361728	442499072	455081984	492830720	517996544	566231040
 4194304	106.132233	70778880	78118912	81264640	85458944	89653248	93847552	98041856	103284736	114819072	650117120	708837376	742391808	801112064	834666496	910163968	918552576	918552576
 8388608	54.423575	135266304	145752064	154140672	168820736	177209344	185597952	191889408	198180864	217055232	1233125376	1417674752	1468006400	1551892480	1585446912	1635778560	1635778560	1635778560
16777216	28.020318	238026752	270532608	283115520	312475648	350224384	371195904	383778816	400556032	425721856	2298478592	2801795072	2902458368	3036676096	3070230528	3103784960	3103784960	3103784960
     128	     0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
     256	     0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
     512	12398.486717	995328	1056768	1089536	1138688	1187840	1269760	1482752	2441216	3031040	3522560	4177920	4685824	5734400	6127616	7241728	7897088	10551296
    1024	11499.583347	1036288	1089536	1122304	1155072	1204224	1269760	1843200	2932736	3325952	3784704	4358144	4816896	5799936	6258688	7372800	8028160	10158080
    2048	10447.951735	1089536	1155072	1187840	1269760	1351680	1515520	2441216	3129344	3588096	4079616	4685824	5275648	6455296	6979584	8585216	9633792	15663104
    4096	10004.366521	1171456	1220608	1269760	1335296	1417216	1581056	2506752	3293184	3784704	4227072	4947968	5472256	6586368	7045120	8224768	8716288	10944512
    8192	9256.658111	1236992	1318912	1351680	1433600	1531904	1712128	2768896	3620864	4112384	4620288	5275648	5865472	7045120	7569408	8716288	9371648	11730944
   16384	8535.682144	1368064	1433600	1482752	1564672	1679360	1908736	3227648	3948544	4423680	4947968	5603328	6193152	7438336	7962624	9109504	9633792	11206656
   32768	6101.059929	1712128	1826816	1908736	2039808	2211840	2572288	3653632	5537792	6324224	7110656	8224768	9240576	11075584	11730944	13434880	14352384	20840448
   65536	4105.089491	2244608	2375680	2506752	2703360	2965504	3424256	4112384	8159232	9895936	11337728	13434880	15007744	18481152	19791872	22151168	23199744	25559040
  131072	2563.858152	3325952	3522560	3686400	4014080	4620288	5275648	5931008	12517376	16318464	19005440	22675456	25559040	31326208	33816576	39583744	41680896	45875200
  262144	1483.038987	5865472	6324224	6651904	7110656	7438336	7766016	8159232	8847360	28966912	35913728	43778048	50069504	61603840	66846720	78118912	82313216	88604672
  524288	792.316407	10158080	11075584	11599872	12517376	13303808	13828096	14352384	15138816	54788096	70778880	87556096	100139008	126353408	137363456	164626432	173015040	185597952
 1048576	417.963154	17956864	19791872	20840448	22151168	23199744	23986176	24772608	25821184	28180480	158334976	183500800	200278016	229638144	242221056	270532608	274726912	283115520
 2097152	214.461764	31588352	35389440	36962304	40632320	43253760	45875200	49020928	52166656	58982400	325058560	362807296	383778816	438304768	450887680	488636416	497025024	517996544
 4194304	106.453649	70778880	77070336	80216064	84410368	88604672	92798976	96993280	102236160	112721920	650117120	717225984	750780416	809500672	826277888	843055104	859832320	868220928
 8388608	54.372346	137363456	145752064	156237824	168820736	177209344	185597952	189792256	198180864	210763776	1283457024	1417674752	1468006400	1551892480	1585446912	1619001344	1635778560	1635778560
16777216	28.099614	202375168	278921216	287309824	304087040	350224384	367001600	375390208	387973120	413138944	2499805184	2835349504	2936012800	3070230528	3103784960	3170893824	3170893824	3170893824
     128	     0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
     256	     0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
