     128	      41	      41
     256	      63	      63
     512	     111	     111
    1024	     221	     221
    2048	     438	     438
    4096	     861	     861
    8192	    1664	    1664
   16384	    2821	    2821
   32768	    5535	    5535
   65536	   12426	   12426
  131072	   22680	   22680
  262144	   33682	   33682
  524288	   45472	   45472
 1048576	   41963	   41963
 2097152	   42700	   42700
 4194304	   41249	   41249
 8388608	   38946	   38946
16777216	   46949	   46949
     128	      41	      41
     256	      63	      63
     512	     113	     113
    1024	     219	     219
    2048	     431	     431
    4096	     861	     861
    8192	    1665	    1665
   16384	    2777	    2777
   32768	    5467	    5467
   65536	   12396	   12396
  131072	   22527	   22527
  262144	   38911	   38911
  524288	   43322	   43322
 1048576	   41949	   41949
 2097152	   38656	   38656
 4194304	   41258	   41258
 8388608	   46358	   46358
16777216	   38031	   38031
     128	      41	      41
     256	      63	      63
     512	     114	     114
    1024	     223	     223
    2048	     438	     438
    4096	     876	     876
    8192	    1709	    1709
   16384	    2844	    2844
   32768	    5439	    5439
   65536	   12454	   12454
  131072	   22278	   22278
  262144	   35442	   35442
  524288	   38410	   38410
 1048576	   42610	   42610
 2097152	   42582	   42582
 4194304	   43708	   43708
 8388608	   39206	   39206
16777216	   43255	   43255
     128	      40	      40
     256	      63	      63
     512	     115	     115
    1024	     221	     221
    2048	     426	     426
    4096	     873	     873
    8192	    1693	    1693
   16384	    2838	    2838
   32768	    5413	    5413
   65536	   12474	   12474
  131072	   22218	   22218
  262144	   31463	   31463
  524288	   44010	   44010
 1048576	   40252	   40252
 2097152	   36217	   36217
 4194304	   38177	   38177
 8388608	   44486	   44486
16777216	   32448	   32448
     128	      40	      40
     256	      64	      64
     512	     114	     114
    1024	     217	     217
    2048	     440	     440
    4096	     865	     865
    8192	    1698	    1698
   16384	    2816	    2816
   32768	    5398	    5398
   65536	   12388	   12388
  131072	   22641	   22641
  262144	   33161	   33161
  524288	   42166	   42166
 1048576	   38255	   38255
 2097152	   37060	   37060
 4194304	   41604	   41604
 8388608	   38733	   38733
16777216	   31893	   31893
     128	      41	      41
     256	      63	      63
     512	     115	     115
    1024	     221	     221
    2048	     434	     434
    4096	     867	     867
    8192	    1705	    1705
   16384	    2868	    2868
   32768	    5442	    5442
   65536	   12593	   12593
  131072	   22476	   22476
  262144	   33547	   33547
  524288	   36441	   36441
 1048576	   42492	   42492
 2097152	   45685	   45685
 4194304	   38430	   38430
 8388608	   43155	   43155
16777216	   39334	   39334
     128	      41	      41
     256	      63	      63
     512	     113	     113
    1024	     222	     222
    2048	     428	     428
    4096	     867	     867
    8192	    1680	    1680
   16384	    2830	    2830
   32768	    5367	    5367
   65536	   12522	   12522
  131072	   22684	   22684
  262144	   35766	   35766
  524288	   45202	   45202
 1048576	   41343	   41343
 2097152	   42617	   42617
 4194304	   39618	   39618
 8388608	   46449	   46449
16777216	   36701	   36701
     128	      41	      41
     256	      65	      65
     512	     112	     112
    1024	     221	     221
    2048	     438	     438
    4096	     873	     873
    8192	    1713	    1713
   16384	    2802	    2802
   32768	    5443	    5443
   65536	   12549	   12549
  131072	   22399	   22399
  262144	   34904	   34904
  524288	   36819	   36819
 1048576	   39460	   39460
 2097152	   42724	   42724
 4194304	   41861	   41861
 8388608	   37029	   37029
16777216	   39902	   39902
     128	      40	      40
     256	      62	      62
     512	     113	     113
    1024	     217	     217
    2048	     431	     431
    4096	     857	     857
    8192	    1692	    1692
   16384	    2796	    2796
   32768	    5340	    5340
   65536	   12305	   12305
  131072	   22291	   22291
  262144	   37491	   37491
  524288	   44086	   44086
 1048576	   38418	   38418
 2097152	   40779	   40779
 4194304	   38046	   38046
 8388608	   37999	   37999
16777216	   46718	   46718
     128	      40	      40
     256	      64	      64
     512	     115	     115
    1024	     219	     219
    2048	     436	     436
    4096	     870	     870
    8192	    1691	    1691
   16384	    2779	    2779
   32768	    5381	    5381
   65536	   12449	   12449
  131072	   22708	   22708
  262144	   38612	   38612
  524288	   44334	   44334
 1048576	   42034	   42034
 2097152	   35976	   35976
 4194304	   39097	   39097
 8388608	   38824	   38824
16777216	   47931	   47931
     128	      40	      40
     256	      63	      63
     512	     116	     116
    1024	     221	     221
    2048	     431	     431
    4096	     869	     869
    8192	    1734	    1734
   16384	    2798	    2798
   32768	    5443	    5443
   65536	   12411	   12411
  131072	   22571	   22571
  262144	   33087	   33087
  524288	   37607	   37607
 1048576	   40418	   40418
 2097152	   38835	   38835
 4194304	   37666	   37666
 8388608	   43850	   43850
16777216	   41834	   41834
     128	      41	      41
     256	      63	      63
     512	     116	     116
    1024	     221	     221
    2048	     441	     441
    4096	     870	     870
    8192	    1697	    1697
   16384	    2859	    2859
   32768	    5385	    5385
   65536	   12392	   12392
  131072	   22645	   22645
  262144	   35847	   35847
  524288	   34846	   34846
 1048576	   41762	   41762
 2097152	   43420	   43420
 4194304	   36204	   36204
 8388608	   40332	   40332
16777216	   35867	   35867
     128	      40	      40
     256	      64	      64
     512	     115	     115
    1024	     219	     219
    2048	     440	     440
    4096	     870	     870
    8192	    1690	    1690
   16384	    2830	    2830
   32768	    5404	    5404
   65536	   12322	   12322
  131072	   22655	   22655
  262144	   29944	   29944
  524288	   45853	   45853
 1048576	   44498	   44498
 2097152	   41222	   41222
 4194304	   37564	   37564
 8388608	   40140	   40140
16777216	   42270	   42270
     128	      41	      41
     256	      62	      62
     512	     113	     113
    1024	     223	     223
    2048	     438	     438
    4096	     873	     873
    8192	    1703	    1703
   16384	    2801	    2801
   32768	    5357	    5357
   65536	   12411	   12411
  131072	   22666	   22666
  262144	   35297	   35297
  524288	   36595	   36595
 1048576	   41139	   41139
 2097152	   43123	   43123
 4194304	   39783	   39783
 8388608	   37608	   37608
16777216	   43127	   43127
     128	      41	      41
     256	      62	      62
     512	     117	     117
    1024	     221	     221
    2048	     433	     433
    4096	     859	     859
    8192	    1712	    1712
   16384	    2848	    2848
   32768	    5475	    5475
   65536	   12440	   12440
  131072	   22742	   22742
  262144	   33591	   33591
  524288	   35739	   35739
 1048576	   41682	   41682
 2097152	   40559	   40559
 4194304	   43926	   43926
 8388608	   34655	   34655
16777216	   39709	   39709
     128	      41	      41
     256	      64	      64
     512	     116	     116
    1024	     222	     222
    2048	     433	     433
    4096	     866	     866
    8192	    1716	    1716
   16384	    2786	    2786
   32768	    5406	    5406
   65536	   12498	   12498
  131072	   22964	   22964
  262144	   34917	   34917
  524288	   39059	   39059
 1048576	   38961	   38961
 2097152	   42197	   42197
 4194304	   43695	   43695
 8388608	   48985	   48985
16777216	   32321	   32321
